dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.9617817122888758,1.0,0.9423076923076923,25277,52,49,25755.0,0.9814404969908755,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.0190715048025614,0.0,1.0,19720,51,51,32795.0,0.6013111754840677,50
44b6_341df25f,207,2,2,0,1,1,0.981042654028436,0.970461747512422,0.0,1.0,8238,216,216,7436.0,1.1078536847767617,211
44b6_e57ff5c6,156,23,30,0,1,0,0.7464114832535885,0.7588345275820338,0.0,0.9326424870466321,16933,193,180,20314.0,0.8335630599586492,209
6bba_05b6850b,835,13,10,0,4,0,0.9731934731934732,0.9788686504734916,0.0,0.9988385598141696,5991,861,860,6362.0,0.9416850047154983,858
6bba_05db0fb1,1114,76,69,0,4,3,0.8848292295472597,0.8857913862596185,0.0,0.9861676159479251,69041,1229,1212,69800.0,0.9891260744985674,1259
6bba_969618f6,651,8,7,0,2,3,0.9774774774774775,0.9674971846846847,0.0,0.9970544918998527,15306,679,677,13888.0,1.102102534562212,666
6bba_fc83837d,829,72,94,0,3,0,0.8331658291457287,0.8394621614222254,0.0,0.9498432601880877,12098,957,909,13087.0,0.9244288224956063,995
