dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,total_node_ratio,edge_weight
44b6_0113de3b,32,31,18,0,0,0,25389,52,49,25755.0,0.3950617283950617,0.3956231440137478,1.0,0.9423076923076923,0.9857891671520094,81
44b6_0b24845f,37,3,12,0,0,0,21450,51,40,32795.0,0.7115384615384616,0.7361532011211841,1.0,0.7843137254901961,0.6540631193779539,52
44b6_341df25f,202,10,7,0,0,1,8345,216,216,7436.0,0.9223744292237442,0.9110990344393927,0.0,1.0,1.1222431414739107,219
44b6_e57ff5c6,78,86,108,0,1,0,18594,193,130,20314.0,0.2867647058823529,0.28919276187387427,0.0,0.6735751295336787,0.915329329526435,272
6bba_05b6850b,773,69,72,0,1,0,6095,861,825,6362.0,0.8457330415754923,0.8492824084742766,0.0,0.9581881533101045,0.9580320653882427,914
6bba_05db0fb1,697,702,486,0,1,3,70758,1229,1099,69800.0,0.36976127320954905,0.36925377851078867,0.0,0.8942229454841334,1.0137249283667622,1885
6bba_969618f6,563,145,95,0,1,3,15726,679,662,13888.0,0.701120797011208,0.6918418509793345,0.0,0.9749631811487481,1.132344470046083,803
6bba_fc83837d,672,250,251,0,1,0,13718,957,835,13087.0,0.5728900255754475,0.5701277912502538,0.0,0.8725182863113897,1.048215786658516,1173
