dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,total_node_ratio,edge_weight
44b6_0113de3b,42,14,8,0,0,0,25389,52,51,25755.0,0.65625,0.6571825859056495,1.0,0.9807692307692307,0.9857891671520094,64
44b6_0b24845f,41,5,8,0,0,0,21450,51,45,32795.0,0.7592592592592593,0.7855248372324147,1.0,0.8823529411764706,0.6540631193779539,54
44b6_341df25f,202,11,7,0,0,1,8345,216,216,7436.0,0.9181818181818182,0.9069576751919409,0.0,1.0,1.1222431414739107,220
44b6_e57ff5c6,116,80,70,0,2,0,18594,193,165,20314.0,0.43609022556390975,0.4397826307424562,0.0,0.8549222797927462,0.915329329526435,266
6bba_05b6850b,829,20,16,0,1,0,6095,861,857,6362.0,0.9583815028901734,0.9624036321148147,0.0,0.9953542392566783,0.9580320653882427,865
6bba_05db0fb1,909,462,274,0,1,3,70758,1229,1195,69800.0,0.5525835866261398,0.5518251696118306,0.0,0.9723352318958502,1.0137249283667622,1645
6bba_969618f6,631,40,27,0,2,3,15726,679,675,13888.0,0.9040114613180515,0.8920473695416793,0.0,0.9941089837997055,1.132344470046083,698
6bba_fc83837d,801,120,122,0,2,0,13718,957,899,13087.0,0.7679769894534996,0.7642741279852856,0.0,0.9393939393939394,1.048215786658516,1043
