dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,total_node_ratio,edge_weight
44b6_0113de3b,46,2,4,0,0,0,25389,52,48,25755.0,0.8846153846153846,0.8858724967519377,1.0,0.9230769230769231,0.9857891671520094,52
44b6_0b24845f,49,1,0,0,1,0,21450,51,51,32795.0,0.98,1.0139018143009606,0.0,1.0,0.6540631193779539,50
44b6_341df25f,208,0,1,0,0,1,8345,216,216,7436.0,0.9952153110047847,0.9830494863987687,0.0,1.0,1.1222431414739107,209
44b6_e57ff5c6,140,64,46,0,2,0,18594,193,181,20314.0,0.56,0.5647415575465198,0.0,0.9378238341968912,0.915329329526435,250
6bba_05b6850b,831,20,14,0,1,0,6095,861,859,6362.0,0.9606936416184971,0.9647254744118348,0.0,0.9976771196283392,0.9580320653882427,865
6bba_05db0fb1,1081,164,102,0,1,3,70758,1229,1216,69800.0,0.8025241276911655,0.8014226690746497,0.0,0.9894222945484134,1.0137249283667622,1347
6bba_969618f6,651,10,7,0,2,3,15726,679,678,13888.0,0.9745508982035929,0.961653255988024,0.0,0.9985272459499264,1.132344470046083,668
6bba_fc83837d,837,88,86,0,2,0,13718,957,920,13087.0,0.827893175074184,0.8239014230036421,0.0,0.9613375130616509,1.048215786658516,1011
