dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,49,2,1,0,0,0,0.9423076923076923,0.9432333527470393,1.0,1.0,25502,52,52,25755.0,0.9901766647252961,52
44b6_0b24845f,47,3,2,0,0,0,0.9038461538461539,0.9336776244033449,1.0,1.0,21971,51,51,32795.0,0.6699496874523555,52
44b6_341df25f,207,3,2,0,1,1,0.9764150943396226,0.9636912343824534,0.0,1.0,8405,216,216,7436.0,1.130311995696611,212
44b6_e57ff5c6,156,35,30,0,1,0,0.7058823529411765,0.7128772391106684,0.0,0.9689119170984456,18301,193,187,20314.0,0.9009057792655312,221
6bba_05b6850b,834,18,11,0,3,0,0.966396292004635,0.9686748120266516,0.0,0.9988385598141696,6212,861,860,6362.0,0.9764225086450802,863
6bba_05db0fb1,1101,136,82,0,6,3,0.8347232752084913,0.8338658302395451,0.0,0.9934906427990235,70517,1229,1221,69800.0,1.0102722063037248,1319
6bba_969618f6,650,9,8,0,2,3,0.974512743628186,0.9613489626154664,0.0,0.9955817378497791,15764,679,676,13888.0,1.1350806451612903,667
6bba_fc83837d,841,79,82,0,2,0,0.8393213572854291,0.8392187429221941,0.0,0.9634273772204807,13103,957,922,13087.0,1.0012225873003744,1002
