dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,49,2,1,0,0,0,0.9423076923076923,0.9428491853710258,1.0,1.0,25607,52,52,25755.0,0.9942535430013589,52
44b6_0b24845f,47,3,2,0,0,0,0.9038461538461539,0.9321314811122708,1.0,1.0,22532,51,51,32795.0,0.6870559536514712,52
44b6_341df25f,207,3,2,0,1,1,0.9764150943396226,0.9633760923401706,0.0,1.0,8429,216,216,7436.0,1.1335395373856911,212
44b6_e57ff5c6,156,37,30,0,1,0,0.6995515695067265,0.7054506137056288,0.0,0.9740932642487047,18601,193,188,20314.0,0.9156739194644088,223
6bba_05b6850b,834,18,11,0,3,0,0.966396292004635,0.9679001152191659,0.0,0.9988385598141696,6263,861,860,6362.0,0.984438855705753,863
6bba_05db0fb1,1101,136,82,0,6,3,0.8347232752084913,0.8335716440995719,0.0,0.9943043124491456,70763,1229,1222,69800.0,1.0137965616045845,1319
6bba_969618f6,650,9,8,0,2,3,0.974512743628186,0.9610753019227714,0.0,0.9955817378497791,15803,679,676,13888.0,1.1378888248847927,667
6bba_fc83837d,839,82,84,0,2,0,0.8348258706467662,0.8341879659545932,0.0,0.9655172413793104,13187,957,924,13087.0,1.00764117062734,1005
