dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.9611443214909725,1.0,0.9423076923076923,25448,52,49,25755.0,0.9880799844690351,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.0085886872998933,0.0,1.0,23228,51,51,32795.0,0.7082787010214971,50
44b6_341df25f,207,3,2,0,1,1,0.9764150943396226,0.964085161935307,0.0,1.0,8375,216,216,7436.0,1.1262775685852608,212
44b6_e57ff5c6,170,26,16,0,2,0,0.8018867924528302,0.8029723436388326,0.0,0.9792746113989638,20039,193,189,20314.0,0.9864625381510288,212
6bba_05b6850b,837,13,8,0,1,0,0.9755244755244755,0.9784225284303876,0.0,0.9988385598141696,6173,861,860,6362.0,0.970292360892801,858
6bba_05db0fb1,1134,77,49,0,5,3,0.9,0.8969505730659025,0.0,0.9967453213995118,72165,1229,1225,69800.0,1.0338825214899714,1260
6bba_969618f6,652,7,6,0,1,3,0.9804511278195489,0.9662470115380618,0.0,0.9985272459499264,15900,679,678,13888.0,1.144873271889401,665
6bba_fc83837d,868,76,55,0,1,0,0.8688688688688688,0.857270229655039,0.0,0.9864158829676071,14834,957,944,13087.0,1.1334912508596318,999
