dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.9613344205008735,1.0,0.9423076923076923,25397,52,49,25755.0,0.9860997864492331,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.014872998932764,0.0,1.0,21125,51,51,32795.0,0.6441530721146517,50
44b6_341df25f,208,0,1,0,0,1,0.9952153110047847,0.9830896376350922,0.0,1.0,8342,216,216,7436.0,1.1218396987627757,209
44b6_e57ff5c6,168,24,18,0,2,0,0.8,0.8077424436349316,0.0,0.9689119170984456,18348,193,187,20314.0,0.9032194545633553,210
6bba_05b6850b,838,11,7,0,1,0,0.9789719626168224,0.983080505748207,0.0,1.0,6095,861,861,6362.0,0.9580320653882427,856
6bba_05db0fb1,1128,74,55,0,3,3,0.8973747016706444,0.8965750353892129,0.0,0.9926769731489016,70422,1229,1220,69800.0,1.0089111747851003,1257
6bba_969618f6,653,6,5,0,2,3,0.983433734939759,0.9705247509334574,0.0,0.9985272459499264,15711,679,678,13888.0,1.131264400921659,664
6bba_fc83837d,862,53,61,0,2,0,0.8831967213114754,0.8816850221781846,0.0,0.9686520376175548,13311,957,927,13087.0,1.017116222205242,976
