dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,47,2,3,0,0,0,0.9038461538461539,0.9056640234159162,1.0,0.9423076923076923,25237,52,49,25755.0,0.9798874005047563,52
44b6_0b24845f,47,3,2,0,0,0,0.9038461538461539,0.938566854703461,1.0,1.0,20197,51,51,32795.0,0.6158560756212837,52
44b6_341df25f,207,3,2,0,1,1,0.9764150943396226,0.965280075512296,0.0,1.0,8284,216,216,7436.0,1.1140398063474986,212
44b6_e57ff5c6,153,35,33,0,1,0,0.6923076923076923,0.7028112480214478,0.0,0.9481865284974094,17232,193,183,20314.0,0.8482819730235306,221
6bba_05b6850b,834,18,11,0,3,0,0.966396292004635,0.9714394163200316,0.0,0.9988385598141696,6030,861,860,6362.0,0.9478151524677775,863
6bba_05db0fb1,1101,135,82,0,6,3,0.8353566009104704,0.8354990184398519,0.0,0.9926769731489016,69681,1229,1220,69800.0,0.9982951289398281,1318
6bba_969618f6,650,9,8,0,2,3,0.974512743628186,0.9636154345062493,0.0,0.9955817378497791,15441,679,676,13888.0,1.1118231566820276,667
6bba_fc83837d,839,78,84,0,2,0,0.8381618381618382,0.8415242204116661,0.0,0.9592476489028213,12562,957,918,13087.0,0.9598838542064644,1001
