dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.9614909726266744,1.0,0.9423076923076923,25355,52,49,25755.0,0.984469035138808,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.015769477054429,0.0,1.0,20825,51,51,32795.0,0.6350053361792957,50
44b6_341df25f,208,0,1,0,0,1,0.9952153110047847,0.9835313012346505,0.0,1.0,8309,216,216,7436.0,1.1174018289402905,209
44b6_e57ff5c6,164,26,22,0,2,0,0.7735849056603774,0.7825949572838511,0.0,0.9637305699481865,17948,193,186,20314.0,0.8835286009648519,212
6bba_05b6850b,836,10,9,0,1,0,0.9777777777777777,0.9823270110726885,0.0,0.9988385598141696,6066,861,860,6362.0,0.9534737503929582,855
6bba_05db0fb1,1118,79,65,0,2,3,0.8858954041204438,0.8856072977354361,0.0,0.9902359641985354,70027,1229,1217,69800.0,1.0032521489971347,1262
6bba_969618f6,651,8,7,0,2,3,0.9774774774774775,0.9658713400900901,0.0,0.9970544918998527,15537,679,677,13888.0,1.118735599078341,666
6bba_fc83837d,853,61,70,0,2,0,0.866869918699187,0.8670951313318436,0.0,0.9655172413793104,13053,957,924,13087.0,0.9974020019867044,984
