dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.96128223645894,1.0,0.9423076923076923,25411,52,49,25755.0,0.9866433702193749,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.0118339381003203,0.0,1.0,22142,51,51,32795.0,0.6751638969355085,50
44b6_341df25f,207,2,2,0,0,1,0.981042654028436,0.9691556256357569,0.0,1.0,8337,216,216,7436.0,1.1211672942442172,211
44b6_e57ff5c6,173,20,13,0,2,0,0.8398058252427184,0.8444567140553504,0.0,0.9792746113989638,19189,193,189,20314.0,0.9446194742542089,206
6bba_05b6850b,839,11,6,0,1,0,0.9801401869158879,0.9835141369462963,0.0,1.0,6143,861,861,6362.0,0.9655768626218171,856
6bba_05db0fb1,1131,73,52,0,2,3,0.9004777070063694,0.8984832391911376,0.0,0.9934906427990235,71346,1229,1221,69800.0,1.0221489971346704,1256
6bba_969618f6,653,6,5,0,2,3,0.983433734939759,0.9699511756704237,0.0,0.9985272459499264,15792,679,678,13888.0,1.1370967741935485,664
6bba_fc83837d,861,76,62,0,1,0,0.8618618618618619,0.8547164494669652,0.0,0.9801462904911181,14172,957,938,13087.0,1.0829067013066402,999
