dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.9611890506697728,1.0,0.9423076923076923,25436,52,49,25755.0,0.9876140555231994,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.0102322305229456,0.0,1.0,22678,51,51,32795.0,0.6915078518066778,50
44b6_341df25f,207,3,2,0,1,1,0.9764150943396226,0.9642427329564485,0.0,1.0,8363,216,216,7436.0,1.1246637977407208,212
44b6_e57ff5c6,171,23,15,0,3,0,0.8181818181818182,0.8209206369096101,0.0,0.9792746113989638,19634,193,189,20314.0,0.966525548882544,209
6bba_05b6850b,837,13,8,0,1,0,0.9755244755244755,0.9790205393474806,0.0,0.9988385598141696,6134,861,860,6362.0,0.9641622131405219,858
6bba_05db0fb1,1133,76,50,0,4,3,0.8999205718824463,0.8973536064689536,0.0,0.9959316517493898,71791,1229,1224,69800.0,1.0285243553008596,1259
6bba_969618f6,652,6,6,0,1,3,0.9819277108433735,0.9679638051052134,0.0,0.9970544918998527,15863,679,677,13888.0,1.1422091013824884,664
6bba_fc83837d,864,73,59,0,1,0,0.8674698795180723,0.8578652042263959,0.0,0.9791013584117032,14536,957,937,13087.0,1.1107205623901582,996
