group_type,group,ordinary_associations,correct,errors,error_rate,endpoint_matched,candidate_recall,target_top1_rate,ilp_recall,final_edge_recall,causal_errors,detection_miss,scorer_ranking,candidate_threshold,ilp_global,postprocessing_removed,postprocessing_rematch,scorer_ranking_share,candidate_threshold_share,ilp_global_share,postprocessing_removed_share,postprocessing_rematch_share,mean_density,median_competitor_margin,dataset,detected_nodes,gt_nodes,detected_node_recall,final_node_recall,top_k,edge_threshold
dataset,44b6_0113de3b,50,47,3,0.06,50,1.0,1.0,1.0,0.94,3,0,0,0,0,3,0,0.0,0.0,0.0,1.0,0.0,8.06,0.0,44b6_0113de3b,26093,52,1.0,0.9423076923076923,16,0.5
dataset,44b6_0b24845f,49,47,2,0.04081632653061224,49,0.9591836734693877,0.9795918367346939,0.9387755102040817,0.9591836734693877,2,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,4.73469387755102,0.0,44b6_0b24845f,32362,51,1.0,1.0,16,0.5
dataset,44b6_341df25f,207,206,1,0.004830917874396135,207,0.9903381642512077,0.9903381642512077,0.9903381642512077,0.9951690821256038,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.3285024154589373,0.0,44b6_341df25f,8806,216,1.0,1.0,16,0.5
dataset,44b6_e57ff5c6,186,151,35,0.1881720430107527,182,0.8626373626373627,0.9175824175824175,0.8021978021978022,0.8296703296703297,31,4,8,5,4,14,0,0.25806451612903225,0.16129032258064516,0.12903225806451613,0.45161290322580644,0.0,9.413978494623656,0.0,44b6_e57ff5c6,24337,193,0.9896373056994818,0.9481865284974094,16,0.5
dataset,6bba_05b6850b,845,834,11,0.01301775147928994,843,0.9762752075919335,0.9845788849347569,0.9691577698695136,0.9893238434163701,9,2,4,0,0,3,2,0.4444444444444444,0.0,0.0,0.3333333333333333,0.2222222222222222,2.5846153846153848,0.0,6bba_05b6850b,6863,861,0.9988385598141696,0.9988385598141696,16,0.5
dataset,6bba_05db0fb1,1177,1094,83,0.07051826677994902,1170,0.941025641025641,0.9572649572649573,0.9316239316239316,0.935042735042735,76,7,36,9,3,22,6,0.47368421052631576,0.11842105263157894,0.039473684210526314,0.2894736842105263,0.07894736842105263,12.792693288020391,0.0,6bba_05db0fb1,75850,1229,0.9959316517493898,0.9926769731489016,16,0.5
dataset,6bba_969618f6,652,647,5,0.007668711656441718,652,0.9923312883435583,0.995398773006135,0.9877300613496932,0.9923312883435583,5,0,2,1,1,0,1,0.4,0.2,0.2,0.0,0.2,5.398773006134969,0.0,6bba_969618f6,17665,679,1.0,0.9955817378497791,16,0.5
dataset,6bba_fc83837d,923,833,90,0.09750812567713976,899,0.9065628476084538,0.9377085650723026,0.8743047830923248,0.9265850945494994,66,24,21,16,13,13,3,0.3181818181818182,0.24242424242424243,0.19696969696969696,0.19696969696969696,0.045454545454545456,5.611050920910076,0.0,6bba_fc83837d,17919,957,0.9822361546499477,0.9592476489028213,16,0.5
