group_type,group,ordinary_associations,correct,errors,error_rate,endpoint_matched,candidate_recall,target_top1_rate,ilp_recall,final_edge_recall,causal_errors,detection_miss,scorer_ranking,candidate_threshold,ilp_global,postprocessing_removed,postprocessing_rematch,scorer_ranking_share,candidate_threshold_share,ilp_global_share,postprocessing_removed_share,postprocessing_rematch_share,mean_density,median_competitor_margin
overall,all,4089,3859,230,0.05624847150892639,4052,0.9489141164856861,0.9654491609081934,0.9338598223099703,0.9523692003948667,193,37,72,31,21,57,12,0.37305699481865284,0.16062176165803108,0.10880829015544041,0.29533678756476683,0.06217616580310881,7.095866960136953,0.0
dataset_family,44b6,492,451,41,0.08333333333333333,488,0.9405737704918032,0.9631147540983607,0.9159836065573771,0.9241803278688525,37,4,9,5,4,19,0,0.24324324324324326,0.13513513513513514,0.10810810810810811,0.5135135135135135,0.0,6.25,0.0
dataset_family,6bba,3597,3408,189,0.05254378648874062,3564,0.9500561167227833,0.9657687991021324,0.936307519640853,0.9562289562289562,156,33,63,26,17,38,12,0.40384615384615385,0.16666666666666666,0.10897435897435898,0.24358974358974358,0.07692307692307693,7.211565193216569,0.0
density_bin,medium_low,1061,1011,50,0.0471253534401508,1045,0.9578947368421052,0.9722488038277513,0.9435406698564593,0.9674641148325359,34,16,12,6,6,7,3,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.20588235294117646,0.08823529411764706,4.797360980207351,0.0
density_bin,medium_high,906,837,69,0.076158940397351,893,0.9272116461366181,0.9552071668533034,0.9025755879059351,0.9372900335946248,56,13,18,13,7,15,3,0.32142857142857145,0.23214285714285715,0.125,0.26785714285714285,0.05357142857142857,8.926048565121413,0.0
density_bin,low,1219,1195,24,0.019688269073010665,1214,0.9785831960461285,0.984349258649094,0.9744645799011532,0.984349258649094,19,5,9,1,1,5,3,0.47368421052631576,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.15789473684210525,2.332239540607055,0.0
density_bin,high,903,816,87,0.09634551495016612,900,0.92,0.9422222222222222,0.8988888888888888,0.9066666666666666,84,3,33,11,7,30,3,0.39285714285714285,0.13095238095238096,0.08333333333333333,0.35714285714285715,0.03571428571428571,14.390919158361019,0.0
dataset,44b6_0113de3b,50,47,3,0.06,50,1.0,1.0,1.0,0.94,3,0,0,0,0,3,0,0.0,0.0,0.0,1.0,0.0,8.06,0.0
dataset,44b6_0b24845f,49,47,2,0.04081632653061224,49,0.9591836734693877,0.9795918367346939,0.9387755102040817,0.9591836734693877,2,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,4.73469387755102,0.0
dataset,44b6_341df25f,207,206,1,0.004830917874396135,207,0.9903381642512077,0.9903381642512077,0.9903381642512077,0.9951690821256038,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.3285024154589373,0.0
dataset,44b6_e57ff5c6,186,151,35,0.1881720430107527,182,0.8626373626373627,0.9175824175824175,0.8021978021978022,0.8296703296703297,31,4,8,5,4,14,0,0.25806451612903225,0.16129032258064516,0.12903225806451613,0.45161290322580644,0.0,9.413978494623656,0.0
dataset,6bba_05b6850b,845,834,11,0.01301775147928994,843,0.9762752075919335,0.9845788849347569,0.9691577698695136,0.9893238434163701,9,2,4,0,0,3,2,0.4444444444444444,0.0,0.0,0.3333333333333333,0.2222222222222222,2.5846153846153848,0.0
dataset,6bba_05db0fb1,1177,1094,83,0.07051826677994902,1170,0.941025641025641,0.9572649572649573,0.9316239316239316,0.935042735042735,76,7,36,9,3,22,6,0.47368421052631576,0.11842105263157894,0.039473684210526314,0.2894736842105263,0.07894736842105263,12.792693288020391,0.0
dataset,6bba_969618f6,652,647,5,0.007668711656441718,652,0.9923312883435583,0.995398773006135,0.9877300613496932,0.9923312883435583,5,0,2,1,1,0,1,0.4,0.2,0.2,0.0,0.2,5.398773006134969,0.0
dataset,6bba_fc83837d,923,833,90,0.09750812567713976,899,0.9065628476084538,0.9377085650723026,0.8743047830923248,0.9265850945494994,66,24,21,16,13,13,3,0.3181818181818182,0.24242424242424243,0.19696969696969696,0.19696969696969696,0.045454545454545456,5.611050920910076,0.0
