dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.9613642399534071,1.0,0.9423076923076923,25389,52,49,25755.0,0.9857891671520094,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.0143171824973318,0.0,1.0,21311,51,51,32795.0,0.6498246683945723,50
44b6_341df25f,208,1,1,0,1,1,0.9904761904761905,0.9783549783549783,0.0,1.0,8346,216,216,7436.0,1.1223776223776223,210
44b6_e57ff5c6,166,25,20,0,2,0,0.7867298578199052,0.7938907493582974,0.0,0.9689119170984456,18465,193,187,20314.0,0.9089790292409176,211
6bba_05b6850b,838,11,7,0,1,0,0.9789719626168224,0.983080505748207,0.0,1.0,6095,861,861,6362.0,0.9580320653882427,856
6bba_05db0fb1,1123,78,60,0,2,3,0.8905630452022204,0.8895972053380111,0.0,0.9910496338486574,70557,1229,1218,69800.0,1.0108452722063037,1261
6bba_969618f6,652,7,6,0,2,3,0.9804511278195489,0.967644832126399,0.0,0.9985272459499264,15702,679,678,13888.0,1.1306163594470047,665
6bba_fc83837d,857,62,66,0,2,0,0.8700507614213198,0.8671521434647239,0.0,0.9717868338557993,13523,957,930,13087.0,1.0333155039352029,985
