dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,48,0,2,0,0,0,0.96,0.9613642399534071,1.0,0.9423076923076923,25389,52,49,25755.0,0.9857891671520094,50
44b6_0b24845f,49,1,0,0,1,0,0.98,1.0139018143009606,0.0,1.0,21450,51,51,32795.0,0.6540631193779539,50
44b6_341df25f,208,0,1,0,0,1,0.9952153110047847,0.9830494863987687,0.0,1.0,8345,216,216,7436.0,1.1222431414739107,209
44b6_e57ff5c6,168,24,18,0,2,0,0.8,0.8067736536378853,0.0,0.9689119170984456,18594,193,187,20314.0,0.915329329526435,210
6bba_05b6850b,838,11,7,0,1,0,0.9789719626168224,0.983080505748207,0.0,1.0,6095,861,861,6362.0,0.9580320653882427,856
6bba_05db0fb1,1128,75,55,0,2,3,0.8966613672496025,0.8954307059461282,0.0,0.9926769731489016,70758,1229,1220,69800.0,1.0137249283667622,1258
6bba_969618f6,653,6,5,0,2,3,0.983433734939759,0.9704185332921548,0.0,0.9985272459499264,15726,679,678,13888.0,1.132344470046083,664
6bba_fc83837d,857,70,66,0,2,0,0.8630412890231621,0.8588800675562589,0.0,0.9749216300940439,13718,957,933,13087.0,1.048215786658516,993
