dataset,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,num_pred_nodes,num_gt_nodes,matched_gt_nodes,estimated_total_nodes,total_node_ratio,edge_weight
44b6_0113de3b,49,2,1,0,0,0,0.9423076923076923,0.9428345504233681,1.0,1.0,25611,52,52,25755.0,0.9944088526499709,52
44b6_0b24845f,47,3,2,0,0,0,0.9038461538461539,0.9320708480420328,1.0,1.0,22554,51,51,32795.0,0.687726787620064,52
44b6_341df25f,207,3,2,0,1,1,0.9764150943396226,0.9633760923401706,0.0,1.0,8429,216,216,7436.0,1.1335395373856911,212
44b6_e57ff5c6,156,37,30,0,1,0,0.6995515695067265,0.7052164426574529,0.0,0.9740932642487047,18669,193,188,20314.0,0.9190213645761544,223
6bba_05b6850b,834,18,11,0,3,0,0.966396292004635,0.9678697349522056,0.0,0.9988385598141696,6265,861,860,6362.0,0.9847532222571519,863
6bba_05db0fb1,1101,136,82,0,6,3,0.8347232752084913,0.833554901798923,0.0,0.9943043124491456,70777,1229,1222,69800.0,1.013997134670487,1319
6bba_969618f6,650,9,8,0,2,3,0.974512743628186,0.9610612680410947,0.0,0.9955817378497791,15805,679,676,13888.0,1.1380328341013826,667
6bba_fc83837d,839,82,84,0,2,0,0.8348258706467662,0.8341624497669063,0.0,0.9655172413793104,13191,957,924,13087.0,1.0079468174524338,1005
